aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
459170,0,,0,0,0,0,0,0,365944,6878976,16446022,4756616,27288,0,13585980,4738,0,,1728,2118,26696520,24838724,2751716,1284212,0,0,0,0,0,0,0,0,0,0,0,23220,1052836,27271910,126880,0,21962,8262,13848,30280,9583052,18811348,6082,12,0,0,10654966,5066990,2878782,2209964,1910596,1935544,2296184,1368734,148746,4340,29457954,120,548,534,1212,13585980,223528,1245042,1493474,146940,118300,186000,50220,459169.19,29457954,29457954,29058536,185013,2589514,,332100,28474846,1209600,0,,,,25770877.44,0,2662235.52,,,0,0,13886,2181948,12068484,11879294,2121444,177222,31640,928,,0,29457954,32756,6364,1131722,1377334,3473376,19939384,2465016,48892,2,0,,,,,,,,,,26090,984,,,,,,,,,136540,320514,60694,0,0,783692,100624,50762460,7356986,0,0,0,0,,,,2819632,5257694,3585190,1706650,3907414,3866320,3317938,1945312,2041704,26992,0,0
254156,1596,,0,0,0,0,178320,1794246,7164838,7323704,1547966,126078,5442,0,7552338,0,0,0,846206,1274534,14791072,13537590,4966466,1551986,6,0,0,0,4750,736,0,0,0,0,0,0,0,7715852,10407728,17014,68448,41712,41564,43592,285166,15655974,982648,1021490,0,0,7105916,3025528,2201464,1422558,941886,652796,504166,421714,240132,1624434,20610174,5628,11758,14988,0,7552338,224490,2616520,2341946,302480,252200,259100,306260,254155.17,20610174,20610174,20253668,104563,614782,86868,1203500,18155430,1209600,0,,,,14525041.92,0,3600866.88,1970,6550,29758,216794,1158368,2194728,3924932,2856308,1921584,1708132,2276738,1853252,,0,20610174,40342,5214,1754066,1613178,1300618,8497654,4822606,105910,1006,0,,,,,,,,,,26118,2564,0,0,0,0,0,0,0,0,138608,108474,26724,0,0,743058,98928,22144860,3884760,0,0,0,0,69880870,11862.46,12350,3751746,2996598,1920812,825022,2134934,2673546,3097154,725704,15078,0,0,0
406884,,,,,0,0,0,0,217260,9517738,32609278,15650362,1822266,60604,22733630,463828,8964,,0,0,38851688,27604642,24011304,10720650,,0,15136,0,,,0,0,0,0,0,0,67066,59800272,10170,0,841220,161452,133628,14364620,41835166,2541402,18,2,0,0,21815436,17441256,5760322,3697442,2724986,2333788,2312556,3045784,730082,15856,62878490,,,,,22733630,1245370,9820174,14127348,734240,710200,623840,453120,406883.85,62878490,62878490,62522010,253165,,,1021580,59877508,1209600,,,,,46190875.2,0,13616364.48,,,0,0,1312,1293672,15976824,29645760,11245290,1521024,186590,7036,,,62878490,87728,34516,7379446,10567652,23678180,17614254,507202,8530,0,0,,,,,,,,,,,,,,,,,,,,767376,,,,,,,,,,,,,,,,13906666,33854976,6574514,2920250,2344686,225474,35754,10032,5086,70,,
1793716,,,,,16,321850,4962834,22490342,47250690,53124178,14998044,977686,12516,0,16949902,12518,0,0,4792338,7803742,43629546,42048018,20653760,5384344,,0,0,0,,,0,0,0,0,0,172044,100440374,43382200,143538,0,110208,76976,114494,187650,15371562,128264668,6798,5152,336,312,20512082,79131824,23158984,9712786,4626186,2639408,1865300,1988208,481670,21708,69077546,,,,,16949902,803366,7630900,13012222,733700,572060,593980,62820,1793715.43,69077546,69077546,157403558,690996,,101616,90200,144138156,1209600,,,,,112935394.6,29959577.28,8157045.12,101376,,579856,10494422,33460206,51319080,40038072,7795810,365658,76446,8598,8,,,69077546,45560,10794,31157386,9801712,26796756,76229292,96656,0,0,0,13228,28448,33750444,14982408,432,671960,164,0,69158832,,,,,,,,,,,411764,,,,,,,,,,,,,,0.92,0,37146136,27622660,20685232,7901596,16649520,32250208,1541010,264946,76834,14,,
465924,0,,0,0,0,0,0,0,568272,12274510,16051928,2226432,28762,224,14375544,2338,702902,1613576,5946,12938,23848076,16879732,9685630,5375878,0,0,6102,0,0,0,0,0,0,0,0,2075180,18138464,4977260,5959220,0,27946,16136,27052,47114,10731010,20198784,102054,22,4,2,12179228,4564430,2124920,1609940,1420516,1846946,3834890,3564894,4360,0,33546620,238,504,1498,1082,14375544,536204,4924396,4737788,420080,350600,351120,309980,465924.8,33546382,33546620,32867292,218742,6944496,100866,807180,31150142,1209600,0,,,,27623150.4,0,3496469.76,0,0,0,0,47000,3793460,16253008,9775428,1033794,196628,46584,4222,,0,33546382,28562,5914,840022,2248542,2158562,20125198,5630090,113096,138,0,,,,,,,,,,27642,1090,0,0,0,0,0,0,0,0,422004,605378,104130,0,0,1160266,179410,43043280,9123318,0,0,0,0,237413170,12084.14,15746,3678070,7190034,4330192,1944950,3770746,3093810,2664414,1600280,2700912,176716,0,0
121166,10044,,0,0,0,0,0,28064,3447262,6838768,5501646,402770,7926,0,7387296,169982,0,0,232548,580478,11696386,8050060,5833822,3257318,0,0,0,0,207284,18738,3108720,1531114,753414,913586,809372,926094,1522160,2257586,4404390,0,39776,31318,52540,1429386,8487728,6182760,2928,0,0,0,9664998,2780076,1507932,955002,578738,371202,248282,105606,13510,1090,17768638,780,800,1112,930,7387296,343312,2780954,3032424,407660,442940,476600,275240,121166.38,17768638,17768638,17392746,59442,513870,39574,780160,16226436,1209600,0,,,,13356534.72,0,2840713.92,,,0,0,411262,3165684,7524036,4487082,549446,73474,15030,422,,1814,17768638,25070,5844,1409830,1307188,3329544,8718190,1411540,19230,0,0,,,,,,,,,,20252,558,0,0,0,0,0,0,0,0,253422,10590,3052,45305816,7018666,542810,109054,54461360,6548958,5971396,269798,0,0,70369220,,,2976076,8914848,2773662,535560,753566,224744,33244,9670,5052,14,0,0
777188,0,,0,0,0,0,0,0,287778,7372740,14601464,2364060,78596,0,22471070,498696,0,,2352,4160,41616522,27975246,24367074,10695718,0,0,0,0,0,0,0,0,0,0,0,190626,7232824,3465668,13815520,0,45342,40932,76994,142710,5468558,18915050,14954,80,12,6,11706634,4964444,1858838,1262860,1088348,1290426,2039024,494064,0,0,66011940,3152,1458,5896,7808,22471070,1091488,8623656,15661554,550740,618720,671040,146460,777188.83,66011940,66011940,25802296,128527,4262536,,419240,24704638,1209600,0,,,,50479173.12,0,10481269.44,,,0,0,24192,2403452,12376788,8447218,1238284,182314,32174,216,,0,66011940,35888,8882,5343758,2079598,8687068,8356682,191612,1150,0,0,,,,,,,,,,28684,13726,0,0,0,0,0,0,0,0,779064,245850,48222,0,0,897490,184482,40252760,7417556,0,0,0,0,135689750,,,6107398,7838712,3408454,1295384,2404548,1647134,990148,479706,513940,19214,0,0
193192,4626,2660,0,0,0,3430,255948,3369730,3434056,3638624,1344470,20682,0,0,4315528,0,0,0,1717094,2538216,8944344,10140198,3837050,192478,10,0,0,0,5472,6044,0,0,0,0,0,0,3494,5789498,6273948,0,31280,18060,18014,37698,1067916,10893948,24,0,0,0,1429808,6060580,2151612,869758,415522,239102,184592,350398,283090,82478,14501824,26120,24758,6296,14,4315528,109034,2543260,1289712,334380,287020,313840,275500,193192.37,14501824,14501824,14630304,60333,18412,111112,1172140,12066940,1209600,342386,0,250,0,10374679.68,0,1681086.72,916,3816,50798,1256592,4325524,2838392,2943244,587560,53948,10150,732,0,276,394,14501824,20172,2784,92996,789518,558184,6250312,4244770,107746,458,0,4002,11880,10279188,4473534,0,88112,0,0,10462562,21656,20234,0,0,0,0,0,0,0,0,85070,127742,16290,0,0,442426,52242,46140,10680,0,0,0,0,21821130,5381.56,5906,1761758,1387530,1411982,585672,1329466,3862770,1632150,81364,14248,0,0,0
792676,2616,,0,0,0,0,0,0,1091364,36378480,27271604,2355502,137204,3670,31327466,0,50,0,708,1788,56295258,45940918,16180076,8963134,0,0,0,0,14480,2864,33606,16440,24018690,9346816,12094044,21321274,152692,111230,143032,0,123578,49704,44440,55580,255258,66693214,7154,5686,408,2802,36636300,6318768,6254614,5157986,5223396,4646660,2814444,185656,0,0,72485342,3496,2174,2580,94,31327466,978388,8648938,7509542,281720,282740,259560,233740,792676.15,72485326,72485326,71662642,315135,14568,20474,1004900,67237876,1209600,0,,,,60719386.56,0,6450330.24,16,23538,0,0,10442,5187138,35644580,23298370,2632528,387984,74734,2048,,126,72485326,133024,21622,5537492,3015014,10889520,39745718,7870818,24526,90,0,,,,,,,,,,7558,198,0,0,0,0,0,0,0,0,660220,11306,1438,0,0,163246,18714,20847400,2139036,2244536,142902,0,0,5341620,33663.2,35666,6766378,24284428,13038058,9275202,13791348,69876,6898,2858,2724,54,0,0
726656,,,,,0,0,0,0,56066,3977184,28286924,13193810,80228,0,17372442,12684,148,,1102,2932,37370828,32373148,9213354,4815592,,0,0,0,,,0,0,0,0,88780,5473122,14527690,22164280,3340336,0,19156,18454,32548,66756,16379348,28997656,80286,4,0,0,15874844,9314882,4216802,3203234,2864650,3581650,5267780,1270066,298,0,46587760,,,,,17372442,621818,5137396,4029464,305680,305360,266580,155120,726655.92,46587760,46587760,46607660,308346,,,561120,45594202,1209600,,,,,40520802.24,0,5061407.04,,,0,0,14116,1673226,17685650,23652342,2355076,172906,40258,634,,,46587760,25726,6412,2845428,1921152,11051240,28681622,1053350,9276,0,0,,,,,,,,,,,,,,,,,,,,299812,,,,,,,,,,,,,,,,5219262,8105168,5923458,2949984,6561588,5688698,4816786,2942292,3312658,74314,,
816316,56,,0,0,0,0,0,18604,1390920,4718660,1605642,148024,8066,0,21971642,12922,0,0,2203208,3946600,36482040,31612946,21919394,5914796,0,0,0,0,372,84,0,0,0,0,0,0,966,1239152,6649798,0,20504,20104,28382,47562,6245266,1528096,2,0,0,0,1775822,2252184,1623780,919816,411806,250124,231244,392618,32436,86,60609844,1166,1598,880,0,21971642,679768,12459926,9445462,547180,510480,469960,22880,816316.4,60609844,60609844,9530340,56375,11930,65374,64560,7889916,1209600,0,,,,40681610.88,0,8632372.8,994,2652,0,70,117594,2804510,3670216,1185846,92520,17094,2050,16,,0,60609844,7458,1294,814516,556282,1096544,5412872,950,0,0,0,,,,,,,,,,4074,372,0,0,0,0,0,0,0,0,439874,14288,3314,0,0,75396,11080,2766460,329090,0,0,0,0,6316400,2855.64,3324,1292280,793764,358428,145486,388750,1399606,3317232,115936,78434,0,0,0
258336,0,,0,0,0,0,0,0,16698,1737524,11765546,4606134,103362,0,9430970,33376,660,598,0,0,14954268,11976642,4992484,2552344,0,0,0,0,0,0,0,0,0,0,0,0,4534792,13621220,73252,0,28168,20330,33172,86720,10225056,7828306,7492,12,8,0,6794284,3031638,1763488,1243984,950180,821932,975676,1510464,997380,140238,19950420,6078,5626,3978,676,9430970,374788,2683690,2294702,476880,374540,398760,215320,258335.2,19950420,19950420,19636758,128428,1521802,26442,555440,18229264,1209600,0,,,,16279144.32,0,1925409.6,,,0,0,0,452164,6124434,9520378,1878158,198042,48318,7770,,0,19950420,17502,3736,644888,1481706,1836864,13306122,926498,11938,10,0,,,,,,,,,,15312,646,0,0,0,0,0,0,0,0,276802,160980,26550,0,0,641302,91070,43687580,7394580,0,0,0,0,41159060,,,2027644,4518700,2736662,1238812,3232218,2398826,974318,681862,414316,5906,0,0
376608,1630,,0,0,0,0,0,81082,2201320,3655472,1247044,136784,1384,0,10856958,0,80,0,1436378,2013930,18618938,16744894,6404588,2949402,0,0,0,0,10814,6326,0,0,0,0,0,0,0,2206100,5116986,0,3330,5046,11164,18136,1640010,5645400,0,0,0,0,1923420,1775818,1126928,852114,491082,301938,237586,409054,201724,3422,26460318,2870,2314,11082,18,10856958,409092,2136450,4264870,333660,353240,353760,257420,376607.89,26460318,26460318,7621338,53885,87552,92710,1045360,7323086,1209600,0,,,,19630695.36,0,5902116.48,126,856,0,56,302478,2781388,3133708,1054086,42370,7910,1074,16,,0,26460318,2630,714,1600838,313526,996528,4407884,966,0,0,0,,,,,,,,,,21610,1462,0,0,0,0,0,0,0,0,235690,127864,26080,45148858,7533478,729670,133754,30837320,3609136,19069992,53970,0,0,55679160,1370.82,1522,1660476,833626,561466,263798,559204,846192,988324,1590696,19304,0,0,0
270096,2130706432,,0,0,0,0,41584,2219206,10225612,9253532,4287402,1303618,182624,2448,10273724,4652,0,0,392164,595478,22579108,19408782,4922928,3328756,0,0,0,0,1342,132,0,0,0,0,0,0,116,5391712,22124198,0,855688,276920,306448,1326056,22144560,2606354,0,0,0,0,11130556,6830274,2820824,1951526,1274584,848672,643396,951112,829630,235452,27895840,6228,3112,1152,0,10273724,313592,1498912,3419146,273200,263120,224860,10580,270095.24,27895840,27895840,27993832,162561,8764,112976,51560,27516026,1209600,0,,,,17085180.48,6817619.52,3594209.28,8146,12856,1428,252852,3803742,10951482,8607334,3432258,431122,32152,3618,38,,0,27895840,12258,2880,6927994,4281252,9300704,6987050,3888,0,0,0,,,,,,,,,,1922,34,0,0,380,533206,0,0,0,0,159044,16066,4316,0,0,70080,10324,19813440,2054216,0,0,0,0,0,4748.6,5526,10506564,4268290,3492032,1500852,2749530,3923980,712076,341244,21458,0,0,0
734884,,,,,0,0,0,68714,2247904,15415332,23330470,4440822,54152,184,16813874,15796,0,,52182,100576,36914750,30723712,12335716,5364802,,0,0,0,,,0,0,0,0,328,3331498,20968574,16590314,4666864,0,34640,25018,57914,116516,9646944,35211378,465164,4,0,0,13848396,8724502,5236732,4074192,3199612,3147978,4704348,2618622,3196,0,49307892,,,,,16813874,559888,6665788,5632288,359140,288460,241280,224700,734883.23,49307892,49307892,48701540,311976,,,837260,45557578,1209600,,,,,40700018.88,0,4831696.32,,,0,222,728596,8611652,21372398,13394546,1213714,174158,44884,17408,,,49307892,36844,8314,776962,3134216,6205220,32057406,3263678,74936,2,0,,,,,,,,,,,,,,,,,,,,321740,,,,,,,,,,,,,,,,5132808,7864804,5945480,3082698,6002352,5406076,4488404,2980122,4372134,282700,,
988318,2814,,0,0,0,21028,956272,11963232,30710490,31642438,15141232,5489422,616238,1986,,,,,,,,,,,32,,,,15562,2468,0,0,0,0,0,0,794,13210282,83062430,268832,10124620,2174792,2103732,2495698,3849642,63546002,6275326,5972526,0,0,51619006,11106870,9534052,6301186,4021940,2824650,1981898,1578760,835608,6738368,,31754,11362,34102,2438,,,,,,,,,988317.09,,,98339156,408467,788358,,,97027226,,0,,,,52811705.28,32644418.88,11508178.56,36964,54024,133418,1648636,10327592,15384560,23374324,21722520,10845298,7548018,4458406,1099566,,0,,30022,4508,2963642,29507204,13731536,32128402,17784568,389830,2616,10,,,,,,,,,,101426,1876,973040,27064294,0,0,0,0,0,0,,244276,62042,62424076,19009252,1779974,289164,90489660,12736146,31964788,22578,0,0,146802370,21194.3,9644,44412824,8114924,6710342,3155846,7137502,8499198,7678000,10570566,263014,122,0,0
878804,,,,,0,0,0,0,358858,10092152,35333390,8234746,86584,52,20085478,748,0,,6648,15288,39023504,30081842,15970998,8696742,,0,3850,0,,,0,0,0,0,842,4630962,20542714,23986952,4944312,0,48704,58142,144844,918010,35882654,17053170,254,4,0,0,20909294,7846716,4340736,3388142,2948084,4103974,8531334,2037078,424,0,55008986,,,,,20085478,880850,8415998,7514592,630780,585840,485180,214160,878804.9,55008986,55008986,55014526,384756,,,441880,54105782,1209600,,,,,49192932.48,0,4892057.28,,,0,0,55384,3828544,23662052,24408354,1936692,168722,44446,1588,,,55008986,32582,8042,2297264,2018972,10426702,37578078,1719390,24750,2,0,,,,,,,,,,,,,,,,,,,,525314,,,,,,,,,,,,,,,,5165660,9358046,7510344,3839268,7833966,7138788,7107966,3677008,2457190,17546,,
