,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000,predicted_column
10,459170,0.0,,0.0,0.0,0,0,0,0,365944,6878976,16446022,4756616,27288,0,13585980.0,4738.0,0.0,,1728.0,2118.0,26696520.0,24838724.0,2751716.0,1284212.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,23220,1052836,27271910,126880,0,21962,8262,13848,30280,9583052,18811348,6082,12,0,0,10654966,5066990,2878782,2209964,1910596,1935544,2296184,1368734,148746,4340,29457954.0,120.0,548.0,534.0,1212.0,13585980.0,223528.0,1245042.0,1493474.0,146940.0,118300.0,186000.0,50220.0,459169.19,29457954.0,29457954.0,29058536.0,185013,2589514.0,,332100.0,28474846.0,1209600.0,0.0,,,,25770877.44,0.0,2662235.52,,,0,0,13886,2181948,12068484,11879294,2121444,177222,31640,928,,0.0,29457954.0,32756,6364,1131722,1377334,3473376,19939384,2465016,48892,2,0,,,,,,,,,,26090.0,984.0,,,,,,,,,136540.0,320514.0,60694.0,0.0,0.0,783692.0,100624.0,50762460.0,7356986.0,0.0,0.0,0.0,0.0,,,,2819632,5257694,3585190,1706650,3907414,3866320,3317938,1945312,2041704,26992,0.0,0.0,1
11,254156,1596.0,,0.0,0.0,0,0,178320,1794246,7164838,7323704,1547966,126078,5442,0,7552338.0,0.0,0.0,0.0,846206.0,1274534.0,14791072.0,13537590.0,4966466.0,1551986.0,6.0,0.0,0.0,0.0,4750.0,736.0,0,0,0,0,0,0,0,7715852,10407728,17014,68448,41712,41564,43592,285166,15655974,982648,1021490,0,0,7105916,3025528,2201464,1422558,941886,652796,504166,421714,240132,1624434,20610174.0,5628.0,11758.0,14988.0,0.0,7552338.0,224490.0,2616520.0,2341946.0,302480.0,252200.0,259100.0,306260.0,254155.17,20610174.0,20610174.0,20253668.0,104563,614782.0,86868.0,1203500.0,18155430.0,1209600.0,0.0,,,,14525041.92,0.0,3600866.88,1970.0,6550.0,29758,216794,1158368,2194728,3924932,2856308,1921584,1708132,2276738,1853252,,0.0,20610174.0,40342,5214,1754066,1613178,1300618,8497654,4822606,105910,1006,0,,,,,,,,,,26118.0,2564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138608.0,108474.0,26724.0,0.0,0.0,743058.0,98928.0,22144860.0,3884760.0,0.0,0.0,0.0,0.0,69880870.0,11862.46,12350.0,3751746,2996598,1920812,825022,2134934,2673546,3097154,725704,15078,0,0.0,0.0,1
12,406884,,,,,0,0,0,0,217260,9517738,32609278,15650362,1822266,60604,22733630.0,463828.0,8964.0,,0.0,0.0,38851688.0,27604642.0,24011304.0,10720650.0,,0.0,15136.0,0.0,,,0,0,0,0,0,0,67066,59800272,10170,0,841220,161452,133628,14364620,41835166,2541402,18,2,0,0,21815436,17441256,5760322,3697442,2724986,2333788,2312556,3045784,730082,15856,62878490.0,,,,,22733630.0,1245370.0,9820174.0,14127348.0,734240.0,710200.0,623840.0,453120.0,406883.85,62878490.0,62878490.0,62522010.0,253165,,,1021580.0,59877508.0,1209600.0,,,,,46190875.2,0.0,13616364.48,,,0,0,1312,1293672,15976824,29645760,11245290,1521024,186590,7036,,,62878490.0,87728,34516,7379446,10567652,23678180,17614254,507202,8530,0,0,,,,,,,,,,,,,,,,,,,,767376.0,,,,,,,,,,,,,,,,13906666,33854976,6574514,2920250,2344686,225474,35754,10032,5086,70,,,1
13,1793716,,,,,16,321850,4962834,22490342,47250690,53124178,14998044,977686,12516,0,16949902.0,12518.0,0.0,0.0,4792338.0,7803742.0,43629546.0,42048018.0,20653760.0,5384344.0,,0.0,0.0,0.0,,,0,0,0,0,0,172044,100440374,43382200,143538,0,110208,76976,114494,187650,15371562,128264668,6798,5152,336,312,20512082,79131824,23158984,9712786,4626186,2639408,1865300,1988208,481670,21708,69077546.0,,,,,16949902.0,803366.0,7630900.0,13012222.0,733700.0,572060.0,593980.0,62820.0,1793715.43,69077546.0,69077546.0,157403558.0,690996,,101616.0,90200.0,144138156.0,1209600.0,,,,,112935394.6,29959577.28,8157045.12,101376.0,,579856,10494422,33460206,51319080,40038072,7795810,365658,76446,8598,8,,,69077546.0,45560,10794,31157386,9801712,26796756,76229292,96656,0,0,0,13228.0,28448.0,33750444.0,14982408.0,432.0,671960.0,164.0,0.0,69158832.0,,,,,,,,,,,411764.0,,,,,,,,,,,,,,0.92,0.0,37146136,27622660,20685232,7901596,16649520,32250208,1541010,264946,76834,14,,,1
14,465924,0.0,,0.0,0.0,0,0,0,0,568272,12274510,16051928,2226432,28762,224,14375544.0,2338.0,702902.0,1613576.0,5946.0,12938.0,23848076.0,16879732.0,9685630.0,5375878.0,0.0,0.0,6102.0,0.0,0.0,0.0,0,0,0,0,0,2075180,18138464,4977260,5959220,0,27946,16136,27052,47114,10731010,20198784,102054,22,4,2,12179228,4564430,2124920,1609940,1420516,1846946,3834890,3564894,4360,0,33546620.0,238.0,504.0,1498.0,1082.0,14375544.0,536204.0,4924396.0,4737788.0,420080.0,350600.0,351120.0,309980.0,465924.8,33546382.0,33546620.0,32867292.0,218742,6944496.0,100866.0,807180.0,31150142.0,1209600.0,0.0,,,,27623150.4,0.0,3496469.76,0.0,0.0,0,0,47000,3793460,16253008,9775428,1033794,196628,46584,4222,,0.0,33546382.0,28562,5914,840022,2248542,2158562,20125198,5630090,113096,138,0,,,,,,,,,,27642.0,1090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422004.0,605378.0,104130.0,0.0,0.0,1160266.0,179410.0,43043280.0,9123318.0,0.0,0.0,0.0,0.0,237413170.0,12084.14,15746.0,3678070,7190034,4330192,1944950,3770746,3093810,2664414,1600280,2700912,176716,0.0,0.0,1
15,121166,10044.0,,0.0,0.0,0,0,0,28064,3447262,6838768,5501646,402770,7926,0,7387296.0,169982.0,0.0,0.0,232548.0,580478.0,11696386.0,8050060.0,5833822.0,3257318.0,0.0,0.0,0.0,0.0,207284.0,18738.0,3108720,1531114,753414,913586,809372,926094,1522160,2257586,4404390,0,39776,31318,52540,1429386,8487728,6182760,2928,0,0,0,9664998,2780076,1507932,955002,578738,371202,248282,105606,13510,1090,17768638.0,780.0,800.0,1112.0,930.0,7387296.0,343312.0,2780954.0,3032424.0,407660.0,442940.0,476600.0,275240.0,121166.38,17768638.0,17768638.0,17392746.0,59442,513870.0,39574.0,780160.0,16226436.0,1209600.0,0.0,,,,13356534.72,0.0,2840713.92,,,0,0,411262,3165684,7524036,4487082,549446,73474,15030,422,,1814.0,17768638.0,25070,5844,1409830,1307188,3329544,8718190,1411540,19230,0,0,,,,,,,,,,20252.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253422.0,10590.0,3052.0,45305816.0,7018666.0,542810.0,109054.0,54461360.0,6548958.0,5971396.0,269798.0,0.0,0.0,70369220.0,,,2976076,8914848,2773662,535560,753566,224744,33244,9670,5052,14,0.0,0.0,1
16,777188,0.0,,0.0,0.0,0,0,0,0,287778,7372740,14601464,2364060,78596,0,22471070.0,498696.0,0.0,,2352.0,4160.0,41616522.0,27975246.0,24367074.0,10695718.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,190626,7232824,3465668,13815520,0,45342,40932,76994,142710,5468558,18915050,14954,80,12,6,11706634,4964444,1858838,1262860,1088348,1290426,2039024,494064,0,0,66011940.0,3152.0,1458.0,5896.0,7808.0,22471070.0,1091488.0,8623656.0,15661554.0,550740.0,618720.0,671040.0,146460.0,777188.83,66011940.0,66011940.0,25802296.0,128527,4262536.0,,419240.0,24704638.0,1209600.0,0.0,,,,50479173.12,0.0,10481269.44,,,0,0,24192,2403452,12376788,8447218,1238284,182314,32174,216,,0.0,66011940.0,35888,8882,5343758,2079598,8687068,8356682,191612,1150,0,0,,,,,,,,,,28684.0,13726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779064.0,245850.0,48222.0,0.0,0.0,897490.0,184482.0,40252760.0,7417556.0,0.0,0.0,0.0,0.0,135689750.0,,,6107398,7838712,3408454,1295384,2404548,1647134,990148,479706,513940,19214,0.0,0.0,1
17,193192,4626.0,2660.0,0.0,0.0,0,3430,255948,3369730,3434056,3638624,1344470,20682,0,0,4315528.0,0.0,0.0,0.0,1717094.0,2538216.0,8944344.0,10140198.0,3837050.0,192478.0,10.0,0.0,0.0,0.0,5472.0,6044.0,0,0,0,0,0,0,3494,5789498,6273948,0,31280,18060,18014,37698,1067916,10893948,24,0,0,0,1429808,6060580,2151612,869758,415522,239102,184592,350398,283090,82478,14501824.0,26120.0,24758.0,6296.0,14.0,4315528.0,109034.0,2543260.0,1289712.0,334380.0,287020.0,313840.0,275500.0,193192.37,14501824.0,14501824.0,14630304.0,60333,18412.0,111112.0,1172140.0,12066940.0,1209600.0,342386.0,0.0,250.0,0.0,10374679.68,0.0,1681086.72,916.0,3816.0,50798,1256592,4325524,2838392,2943244,587560,53948,10150,732,0,276.0,394.0,14501824.0,20172,2784,92996,789518,558184,6250312,4244770,107746,458,0,4002.0,11880.0,10279188.0,4473534.0,0.0,88112.0,0.0,0.0,10462562.0,21656.0,20234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85070.0,127742.0,16290.0,0.0,0.0,442426.0,52242.0,46140.0,10680.0,0.0,0.0,0.0,0.0,21821130.0,5381.56,5906.0,1761758,1387530,1411982,585672,1329466,3862770,1632150,81364,14248,0,0.0,0.0,1
18,792676,2616.0,,0.0,0.0,0,0,0,0,1091364,36378480,27271604,2355502,137204,3670,31327466.0,0.0,50.0,0.0,708.0,1788.0,56295258.0,45940918.0,16180076.0,8963134.0,0.0,0.0,0.0,0.0,14480.0,2864.0,33606,16440,24018690,9346816,12094044,21321274,152692,111230,143032,0,123578,49704,44440,55580,255258,66693214,7154,5686,408,2802,36636300,6318768,6254614,5157986,5223396,4646660,2814444,185656,0,0,72485342.0,3496.0,2174.0,2580.0,94.0,31327466.0,978388.0,8648938.0,7509542.0,281720.0,282740.0,259560.0,233740.0,792676.15,72485326.0,72485326.0,71662642.0,315135,14568.0,20474.0,1004900.0,67237876.0,1209600.0,0.0,,,,60719386.56,0.0,6450330.24,16.0,23538.0,0,0,10442,5187138,35644580,23298370,2632528,387984,74734,2048,,126.0,72485326.0,133024,21622,5537492,3015014,10889520,39745718,7870818,24526,90,0,,,,,,,,,,7558.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660220.0,11306.0,1438.0,0.0,0.0,163246.0,18714.0,20847400.0,2139036.0,2244536.0,142902.0,0.0,0.0,5341620.0,33663.2,35666.0,6766378,24284428,13038058,9275202,13791348,69876,6898,2858,2724,54,0.0,0.0,1
19,726656,,,,,0,0,0,0,56066,3977184,28286924,13193810,80228,0,17372442.0,12684.0,148.0,,1102.0,2932.0,37370828.0,32373148.0,9213354.0,4815592.0,,0.0,0.0,0.0,,,0,0,0,0,88780,5473122,14527690,22164280,3340336,0,19156,18454,32548,66756,16379348,28997656,80286,4,0,0,15874844,9314882,4216802,3203234,2864650,3581650,5267780,1270066,298,0,46587760.0,,,,,17372442.0,621818.0,5137396.0,4029464.0,305680.0,305360.0,266580.0,155120.0,726655.92,46587760.0,46587760.0,46607660.0,308346,,,561120.0,45594202.0,1209600.0,,,,,40520802.24,0.0,5061407.04,,,0,0,14116,1673226,17685650,23652342,2355076,172906,40258,634,,,46587760.0,25726,6412,2845428,1921152,11051240,28681622,1053350,9276,0,0,,,,,,,,,,,,,,,,,,,,299812.0,,,,,,,,,,,,,,,,5219262,8105168,5923458,2949984,6561588,5688698,4816786,2942292,3312658,74314,,,1
20,816316,56.0,,0.0,0.0,0,0,0,18604,1390920,4718660,1605642,148024,8066,0,21971642.0,12922.0,0.0,0.0,2203208.0,3946600.0,36482040.0,31612946.0,21919394.0,5914796.0,0.0,0.0,0.0,0.0,372.0,84.0,0,0,0,0,0,0,966,1239152,6649798,0,20504,20104,28382,47562,6245266,1528096,2,0,0,0,1775822,2252184,1623780,919816,411806,250124,231244,392618,32436,86,60609844.0,1166.0,1598.0,880.0,0.0,21971642.0,679768.0,12459926.0,9445462.0,547180.0,510480.0,469960.0,22880.0,816316.4,60609844.0,60609844.0,9530340.0,56375,11930.0,65374.0,64560.0,7889916.0,1209600.0,0.0,,,,40681610.88,0.0,8632372.8,994.0,2652.0,0,70,117594,2804510,3670216,1185846,92520,17094,2050,16,,0.0,60609844.0,7458,1294,814516,556282,1096544,5412872,950,0,0,0,,,,,,,,,,4074.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439874.0,14288.0,3314.0,0.0,0.0,75396.0,11080.0,2766460.0,329090.0,0.0,0.0,0.0,0.0,6316400.0,2855.64,3324.0,1292280,793764,358428,145486,388750,1399606,3317232,115936,78434,0,0.0,0.0,1
